operator_1	この度はご利用いただきまして、誠にありがとうございます。│ご宿泊のご相談を承ります。▁│はじめにご宿泊地、お日付、人数をお聞かせいただけますでしょうか。
customer_2	3月29日に、1泊で東京に泊まりたいと思っています。│人数は1名です。
operator_1	かしこまりました。│こちらのご宿泊は、ビジネスでのご利用になりますでしょうか?│それとも観光でしょうか?
customer_2	私は東京に住んでいるのですが、仕事に疲れたので癒されたいんです。│ちょっと高級なホテルに泊まって自分へのご褒美にしようかと。
operator_1	さようでございますか。│それでは、ハイクラスのホテルでお調べいたします。│ご予算はいかがでしょうか?
customer_2	1人泊まりだと、2人分の料金を請求されるのでしょうか?│3万円くらいで豪華な気分を味わいたいのですが。
operator_1	お部屋の収容人数によって変わりますので、ご予算3万円で承ります。▁│場所は東京のどちらでもよろしいでしょうか?
customer_2	夜景を見渡せる部屋が取れれば、どこでもかまいません。│でも駅から近い方がいいですね。
operator_1	かしこまりました。│それでは、駅から近いお宿で、夜景を見渡せるお部屋をご用意いたします。▁│お食事も室内でお召し上がりいただけるよう、手配しましょうか?
customer_2	夕食はホテルの外に出かけようと思っています。│でもそうですね、朝食は部屋で取れれば素敵ですね。
operator_1	かしこまりました。│それでは、朝食のみ室内でお召し上がりいただけるプランをお調べいたします。▁│館内施設につきましては、ご希望はございますでしょうか?
customer_2	スパを利用したいです。│プールで泳ぎたいので。
operator_1	かしこまりました。│それではスパ付きのホテルをお調べいたします。▁│ご宿泊日までお日にちがございますが、早割プランはご希望でしょうか?│キャンセルチャージが早く発生してしまいますが、その分、お値段はお求め安くなります。
customer_2	もう宿泊する日付も決まっているので、早割プランでも問題ありません。│今までの要望が全部かなうような、レディースプランみたいなものがあればいいのですが。
operator_1	スパのご利用代金がセットになったレディースプランはあるかと思います。│そちらをお調べしてもよろしいでしょうか?
customer_2	お願いします。│部屋は出来るだけ高層階にしてください。
operator_1	かしこまりました。│ご希望をお聞かせくださり、ありがとうございました。▁│それでは以下の条件でお調べしますので、よろしくお願いいたします。
operator_1	・日付は3月29日。▁│・宿泊日数は1泊。▁│・宿泊地は東京。▁│・人数は大人1名。▁│・宿タイプはハイクラスホテル。▁│・館内施設はスパ付きを希望。▁│・予算は3万円。▁│・駅から近い宿を希望。▁│・夜景を見渡せる高層階の部屋を希望。▁│・食事は朝食のみ室内で食べられるプランを希望。▁│・早割プランを希望。▁│・スパ代金がセットになったレディースプランを希望。
